ville_nom,ville_departement
AAST,64
ABAINVILLE,55
ABANCOURT,59
ABANCOURT,60
ABAUCOURT,54
ABAUCOURT-HAUTECOURT,55
ABBANS-DESSOUS,25
ABBANS-DESSUS,25
ABBARETZ,44
ABBECOURT,02
ABBECOURT,60
ABBENANS,25
ABBEVILLE,80
ABBEVILLE-LA-RIVIERE,91
ABBEVILLE-LES-CONFLANS,54
ABBEVILLE-SAINT-LUCIEN,60
ABBEVILLERS,25
ABEILHAN,34
ABELCOURT,70
ABERE,64
ABERGEMENT-LA-RONCE,39
ABERGEMENT-LE-GRAND,39
ABERGEMENT-LE-PETIT,39
ABERGEMENT-LES-THESY,39
ABIDOS,64
ABILLY,37
ABITAIN,64
ABJAT-SUR-BANDIAT,24
ABLAIN-SAINT-NAZAIRE,62
ABLAINCOURT-PRESSOIR,80
ABLAINZEVELLE,62
ABLANCOURT,51
ABLEIGES,95
ABLIS,78
ABLON,14
ABLON-SUR-SEINE,94
ABOEN,42
ABONCOURT,54
ABONCOURT,57
ABONCOURT-GESINCOURT,70
ABONCOURT-SUR-SEILLE,57
ABONDANCE,74
ABONDANT,28
ABOS,64
ABRESCHVILLER,57
ABREST,03
ABRIES,05
ABSCON,59
ABYMES,971
ABZAC,16
ABZAC,33
ACCOLANS,25
ACCOLAY,89
ACCONS,07
ACCOUS,64
ACHAIN,57
ACHEN,57
ACHENHEIM,67
ACHERES,78
ACHERES,18
ACHERES-LA-FORET,77
ACHERY,02
ACHEUX-EN-AMIENOIS,80
ACHEUX-EN-VIMEU,80
ACHEVILLE,62
ACHEY,70
ACHICOURT,62
ACHIET-LE-GRAND,62
ACHIET-LE-PETIT,62
ACHUN,58
ACHY,60
ACIGNE,35
ACLOU,27
ACON,27
ACOUA,976
ACQ,62
ACQUEVILLE,50
ACQUEVILLE,14
ACQUIGNY,27
ACQUIN-WESTBECOURT,62
ACY,02
ACY-EN-MULTIEN,60
ACY-ROMANCE,08
ADAINCOURT,57
ADAINVILLE,78
ADAM-LES-PASSAVANT,25
ADAM-LES-VERCEL,25
ADAMSWILLER,67
ADAST,65
ADE,65
ADELANGE,57
ADELANS-ET-LE-VAL-DE-BITHAINE,70
ADERVIELLE-POUCHERGUES,65
ADILLY,79
ADINFER,62
ADISSAN,34
ADON,45
ADRIERS,86
